10:30:40 INFO  manager.ApplicationManager - Tests starts on Chrome Driver
10:30:43 INFO  manager.MyListener - Start search element by locator-->By.xpath: //a[contains(text(),'Logout')]
10:30:58 INFO  manager.MyListener - The element with locator-->By.xpath: //a[contains(text(),'Logout')]was found
10:30:58 INFO  manager.NgListener - Start of test--->loginTest
10:30:58 INFO  tests.TestBase - Test Registration Positive starts with email--->rona666@mail.ru
10:30:58 INFO  tests.TestBase - Test Registration Positive starts with password--->KoronA10!
10:30:58 INFO  manager.MyListener - Start search element by locator-->By.xpath: //a[text()=' Log in ']
10:30:58 INFO  manager.MyListener - The element with locator-->By.xpath: //a[text()=' Log in ']was found
10:30:58 INFO  manager.MyListener - Click on WebElement by Css locator-->
10:30:58 INFO  manager.MyListener - Start search element by locator-->By.xpath: //input[@id='email']
10:30:58 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@id='email']was found
10:30:58 INFO  manager.MyListener - Click on WebElement by Css locator-->
10:30:58 INFO  manager.MyListener - Start search element by locator-->By.xpath: //input[@id='password']
10:30:58 INFO  manager.MyListener - The element with locator-->By.xpath: //input[@id='password']was found
10:30:58 INFO  manager.MyListener - Click on WebElement by Css locator-->
10:30:59 INFO  manager.MyListener - Start search element by locator-->By.xpath: //button[@type='submit']
10:30:59 INFO  manager.MyListener - The element with locator-->By.xpath: //button[@type='submit']was found
10:31:04 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: .dialog-container
10:31:04 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-containerwas found
10:31:04 INFO  manager.MyListener - Start search element by locator-->By.cssSelector: .dialog-container h2
10:31:04 INFO  manager.MyListener - The element with locator-->By.cssSelector: .dialog-container h2was found
10:31:04 INFO  manager.NgListener - Success test--->loginTest
10:31:04 INFO  manager.MyListener - Start search element by locator-->By.xpath: //button[text()='Ok']
10:31:04 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
10:31:04 INFO  manager.MyListener - Start search element by locator-->By.xpath: //button[text()='Ok']
10:31:04 INFO  manager.MyListener - The element with locator-->By.xpath: //button[text()='Ok']was found
10:31:04 INFO  manager.MyListener - Click on WebElement by Css locator-->
